OBJECTID,GEO_ID,countyname,state,countyFIPS,total_white,total_blackAmerican,total_indianAlaska,total_Asian,total_hawaiian,total_other,B02001_007M,total_nonhipanic,total_hispanic
1,0500000US01001,Autauga County,Alabama,1001,42437,10565,159,568,166,409,348,53672,1528
2,0500000US01003,Baldwin County,Alabama,1003,179526,19764,1522,1680,360,2034,783,198754,9353
3,0500000US01005,Barbour County,Alabama,1005,12216,12266,72,96,40,778,192,24676,1106
4,0500000US01007,Bibb County,Alabama,1007,17268,5018,8,37,54,9,16,21980,547
5,0500000US01009,Blount County,Alabama,1009,55054,862,141,198,33,437,256,52384,5261
6,0500000US01011,Bullock County,Alabama,1011,2276,7893,122,56,71,5,7,10301,51
7,0500000US01013,Butler County,Alabama,1013,10414,9055,2,231,44,0,22,19958,67
8,0500000US01015,Calhoun County,Alabama,1015,85558,23676,353,1065,146,1701,412,110895,4203
9,0500000US01017,Chambers County,Alabama,1017,19483,13319,97,405,38,175,154,33058,768
10,0500000US01019,Cherokee County,Alabama,1019,23997,1267,236,55,49,90,67,25455,398
11,0500000US01021,Chilton County,Alabama,1021,36599,4148,123,190,61,1858,707,40514,3416
12,0500000US01023,Choctaw County,Alabama,1023,7420,5590,9,13,22,8,13,13002,73
13,0500000US01025,Clarke County,Alabama,1025,12935,11173,25,123,22,0,22,24339,48
14,0500000US01027,Clay County,Alabama,1027,11106,1977,155,18,22,26,31,12963,415
15,0500000US01029,Cleburne County,Alabama,1029,14068,393,39,3,6,126,124,14576,362
16,0500000US01031,Coffee County,Alabama,1031,38923,8829,617,666,102,644,368,47739,3549
17,0500000US01033,Colbert County,Alabama,1033,43288,8615,367,267,61,723,219,53146,1349
18,0500000US01035,Conecuh County,Alabama,1035,6369,5971,56,18,19,2,5,12409,105
19,0500000US01037,Coosa County,Alabama,1037,7133,3713,9,0,19,0,19,10805,50
20,0500000US01039,Covington County,Alabama,1039,31624,4826,58,159,52,70,70,36747,604
21,0500000US01041,Crenshaw County,Alabama,1041,9938,3198,109,188,19,146,104,13590,275
22,0500000US01043,Cullman County,Alabama,1043,78392,998,348,334,145,793,352,78770,3543
23,0500000US01045,Dale County,Alabama,1045,35889,9749,377,633,194,947,385,46185,3070
24,0500000US01047,Dallas County,Alabama,1047,11257,28210,10,224,21,25,42,39617,412
25,0500000US01049,DeKalb County,Alabama,1049,60972,1004,934,140,71,5899,930,60980,10220
26,0500000US01051,Elmore County,Alabama,1051,60824,17402,209,392,133,774,339,78865,2347
27,0500000US01053,Escambia County,Alabama,1053,23095,11920,1437,135,157,232,123,36490,838
